[2022-05-09 07:34:01.477] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.481] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.481] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.485] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.485] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.489] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.489] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.493] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.493] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.499] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.499] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.504] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.504] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.509] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.509] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.514] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.514] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.519] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.519] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.524] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.524] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.528] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.528] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_fisheye_pstitch/camera_fisheye_pstitch
[2022-05-09 07:34:01.534] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.534] [uploader] [info] [data_manager.cpp:433] Check file list success.
[2022-05-09 07:34:01.534] [uploader] [info] [data_manager.cpp:68] COMMAND: tar -czvf /workdir/data/2022-05-09-07-06-13/small_files/1652079973592892.tar.gz -C /workdir/data/2022-05-09-07-06-13 rtk.json gps.json egomotion.json image_list.txt time_ref.json lidar_road_edge.json
[2022-05-09 07:34:02.824] [uploader] [info] [data_manager.cpp:71] RUN exit code: 0
